cycle,state,winner,dem_votes_wiki,rep_votes_wiki
2020.00,National,Joe Biden,81284666,74224319
2016.00,National,Donald Trump,65853514,62984828
2012.00,National,Barack Obama,65915795,60933504
2008.00,National,Barack Obama,69498516,59948323
2004.00,National,George W. Bush,59028439,62040610
2000.00,National,George W. Bush,51003926,50460110
1996.00,National,Bill Clinton,47400125,39198755
1992.00,National,Bill Clinton,44909806,39104550
1988.00,National,George H. W. Bush,41809476,48886597
1984.00,National,Ronald Reagan,37577352,54455472
1980.00,National,Ronald Reagan,35480115,43903230
1976.00,National,Jimmy Carter,40831881,39148634
1972.00,National,Richard Nixon,29173222,47168710
1968.00,National,Richard Nixon,31271839,31783783
1964.00,National,Lyndon Johnson,43127041,27175754
1960.00,National,John F. Kennedy,34220984,34108157
1956.00,National,Dwight Eisenhower,26028028,35579180
1952.00,National,Dwight Eisenhower,27375090,34075529
1948.00,National,Harry Truman,24179347,21991292
1944.00,National,Franklin Roosevelt,25612916,22017929
1940.00,National,Franklin Roosevelt,27313945,22347744
1936.00,National,Franklin Roosevelt,27752648,16681862
1932.00,National,Franklin Roosevelt,22821277,15761254
1928.00,National,Herbert Hoover,15015464,21427123
1924.00,National,Calvin Coolidge,8386242,15723789
1920.00,National,Warren Harding,9139661,16144093
1916.00,National,Woodrow Wilson,9126868,8548728
1912.00,National,Woodrow Wilson,6296284,4122721
1908.00,National,William Taft,6408979,7678335
1904.00,National,Theodore Roosevelt,5083880,7630557
1900.00,National,William McKinley,6370932,7228864
1896.00,National,William McKinley,6510807,7112138
1892.00,National,Grover Cleveland,5553898,5190799
1888.00,National,Benjamin Harrison,5534488,5443892
1884.00,National,Grover Cleveland,4914482,4856903
1880.00,National,James Garfield,4451439,4453337
1876.00,National,Rutherford Hayes,4286808,4034142
1872.00,National,Ulysses Grant,2833710,3597439
1868.00,National,Ulysses Grant,2708980,3013790
1864.00,National,Abraham Lincoln,1806227,2211317
1860.00,National,Abraham Lincoln,1381944,1855993
1856.00,National,James Buchanan,1835140,1340668
1852.00,National,Franklin Pierce,1605943,1386418
1848.00,National,Zachary Taylor,1360235,1222353
1844.00,National,James Polk,1339570,1300157
1840.00,National,William Henry Harrison,1275583,1129645
1836.00,National,Martin Van Buren,763291,549907
1832.00,National,Andrew Jackson,702735,474107
1828.00,National,Andrew Jackson,642806,501967
1824.00,National,John Quincy Adams,113142,151363
1820.00,National,James Monroe,87343,17465
1816.00,National,James Monroe,76592,34740
1812.00,National,James Madison,140431,132781
1808.00,National,James Madison,124732,62431
1804.00,National,Thomas Jefferson,104110,38919
1800.00,National,Thomas Jefferson,41330,25952
1796.00,National,John Adams,35726,31115
1792.00,National,George Washington,28579,0
1788.00,National,George Washington,43782,0
